student_id,region,subject,engagement_level,percentage,app_login_count,video_completion_rate
16100,Africa,Economics,Low,36.3,9,11.8
25915,South Asia,Economics,Low,36.3,11,8.1
17505,Africa,Science,Low,36.4,19,7.4
19507,Africa,Computer Science,Low,36.4,3,28.4
22620,Europe,Economics,Low,36.4,7,5.3
24672,South Asia,Computer Science,Low,36.4,20,10.0
3057,Africa,Science,Low,36.5,12,22.3
24688,South America,Economics,Low,36.5,5,19.8
14465,Africa,History,Low,36.6,19,4.6
31265,South Asia,History,Low,36.7,22,10.5
10561,Africa,Mathematics,Low,36.8,8,9.3
10638,South Asia,Economics,Low,36.8,23,0.0
24647,Africa,History,Low,36.8,8,13.2
38745,South Asia,Economics,Low,36.8,15,30.4
6948,South Asia,Economics,Low,36.9,6,5.7
20516,South Asia,Mathematics,Low,36.9,7,22.7
23001,Africa,English,Low,36.9,24,10.2
68,South Asia,Science,Low,37.0,9,13.7
37880,South America,Economics,Low,37.0,9,0.0
1826,South America,English,Low,37.1,10,2.2
18468,South America,Mathematics,Low,37.1,22,6.8
18999,South Asia,Mathematics,Low,37.1,14,12.1
27412,Africa,Mathematics,Low,37.1,12,0.0
15820,South Asia,Science,Low,37.2,8,11.8
8618,South America,Economics,Low,37.3,15,18.8
19131,South America,Mathematics,Low,37.3,11,15.6
37266,Africa,English,Low,37.3,14,23.4
38077,South Asia,Mathematics,Low,37.3,8,0.0
11445,Europe,Economics,Low,37.4,11,15.0
34783,South Asia,English,Low,37.4,9,22.7
1864,South Asia,Economics,Low,37.5,18,7.9
14383,South Asia,Economics,Low,37.5,12,10.2
25220,South America,Science,Low,37.5,5,2.3
27847,Africa,Science,Low,37.6,11,5.9
7902,South Asia,Mathematics,Low,37.7,5,18.5
10797,South Asia,Computer Science,Low,37.7,16,0.1
14800,Africa,Economics,Low,37.7,9,0.0
27054,Africa,Science,Low,37.7,16,6.0
33803,East Asia,Mathematics,Low,37.7,8,6.8
17914,Africa,Economics,Low,37.8,8,17.8
20151,Africa,History,Low,37.8,7,6.0
33804,North America,Mathematics,Low,37.8,10,20.6
36139,South Asia,English,Low,37.8,15,8.2
317,Africa,English,Low,37.9,14,12.7
33549,South Asia,Mathematics,Low,37.9,13,20.7
36057,Africa,History,Low,37.9,15,9.3
5437,South Asia,Computer Science,Low,38.0,9,11.7
8967,Africa,Mathematics,Low,38.0,3,14.9
12966,South America,Economics,Low,38.0,6,0.0
13393,Africa,Mathematics,Low,38.0,7,9.2
25805,South Asia,Mathematics,Low,38.0,8,22.8
12338,South Asia,Economics,Low,38.1,19,19.4
18947,Africa,Economics,Low,38.1,20,13.6
33686,Europe,Mathematics,Low,38.1,13,12.2
4369,South America,Mathematics,Low,38.2,20,17.7
5810,South Asia,English,Low,38.2,12,10.0
12077,Africa,Computer Science,Low,38.2,15,1.2
16545,Europe,Mathematics,Low,38.2,17,9.8
27158,South America,Science,Low,38.2,5,0.0
32335,Africa,Computer Science,Low,38.2,5,34.4
5149,South Asia,Economics,Low,38.3,7,16.2
29668,Europe,Mathematics,Low,38.3,11,15.3
11842,South Asia,History,Low,38.4,11,16.9
18329,South Asia,Science,Low,38.4,23,10.3
35040,Africa,Mathematics,Low,38.4,13,9.0
4467,Africa,Mathematics,Low,38.5,5,20.9
8184,Africa,Economics,Low,38.5,6,18.8
8447,South Asia,Economics,Low,38.5,7,7.9
11837,Africa,History,Low,38.5,11,11.5
16595,North America,Economics,Low,38.5,8,18.4
37407,South Asia,Mathematics,Low,38.5,7,0.0
599,East Asia,Mathematics,Low,38.6,14,3.8
8987,Africa,Computer Science,Low,38.6,10,8.1
12564,Europe,Mathematics,Low,38.6,6,11.7
26580,South America,Science,Low,38.6,9,11.3
38906,Africa,Economics,Low,38.6,9,31.2
10837,South Asia,Mathematics,Low,38.7,17,6.4
13124,South Asia,Science,Low,38.8,7,5.7
24891,Africa,Mathematics,Low,38.8,14,14.9
13882,Africa,Mathematics,Low,38.9,8,26.5
25069,Africa,Economics,Low,38.9,2,20.7
27261,South America,Economics,Low,38.9,9,2.7
28230,South Asia,Economics,Low,38.9,8,3.0
11854,Africa,History,Low,39.0,15,16.9
20635,North America,Science,Low,39.0,8,21.7
21489,South America,Computer Science,Low,39.0,28,5.6
25392,Africa,History,Low,39.0,15,23.9
30955,South America,Mathematics,Low,39.0,9,0.0
34192,Africa,Mathematics,Low,39.0,14,25.3
676,Africa,Mathematics,Low,39.1,11,16.5
2848,South Asia,Computer Science,Low,39.1,10,17.9
12936,Africa,History,Low,39.1,21,16.9
15486,Africa,Mathematics,Low,39.1,10,11.3
8544,South Asia,Science,Low,39.2,8,15.0
19457,South Asia,Economics,Low,39.2,9,5.3
19839,Africa,Economics,Low,39.2,8,27.5
27645,Africa,History,Low,39.2,15,19.6
34147,South Asia,Economics,Low,39.2,13,27.9
2670,South America,Economics,Low,39.3,4,22.6
3247,Africa,Economics,Low,39.3,16,17.9
18330,South Asia,Mathematics,Low,39.3,13,0.0
24476,Europe,Economics,Low,39.3,7,18.8
26223,South Asia,Mathematics,Low,39.3,15,19.6
33289,North America,Mathematics,Low,39.3,7,0.0
7826,South America,Computer Science,Low,39.4,7,8.5
9025,South America,History,Low,39.4,13,11.7
11736,Africa,Economics,Low,39.4,5,10.3
11768,South America,Economics,Low,39.4,20,15.3
32074,Europe,Science,Low,39.4,9,10.9
32962,Africa,Computer Science,Low,39.4,5,15.3
34084,Africa,Science,Low,39.4,17,23.2
873,North America,Economics,Low,39.5,9,12.8
14877,North America,Mathematics,Low,39.5,8,10.5
1639,Europe,Economics,Low,39.6,7,21.0
7083,Africa,Mathematics,Low,39.6,6,14.0
38373,South Asia,Economics,Low,39.6,7,11.4
160,Africa,Mathematics,Low,39.7,14,19.7
12007,East Asia,Computer Science,Low,39.7,9,16.0
14278,Africa,Mathematics,Low,39.7,18,12.2
21154,Africa,History,Low,39.7,12,22.4
23017,South America,Mathematics,Low,39.7,23,8.9
35793,South America,Economics,Low,39.7,10,16.6
9261,South Asia,Mathematics,Low,39.8,15,0.0
26161,South America,History,Low,39.8,9,4.1
26264,Africa,Economics,Low,39.8,11,11.9
30239,Europe,Mathematics,Low,39.8,7,8.7
32343,Africa,Mathematics,Low,39.8,12,29.8
4065,Africa,Mathematics,Low,39.9,11,21.4
6148,Africa,English,Low,39.9,16,7.8
7186,Africa,Mathematics,Low,39.9,10,0.0
13905,South Asia,Mathematics,Low,40.0,9,12.7
33786,South Asia,English,Low,40.0,6,9.0
36501,Africa,Mathematics,Low,40.0,12,15.9
2081,Africa,History,Low,40.1,3,17.3
7283,Africa,English,Low,40.1,8,25.2
12716,South America,Science,Low,40.1,7,18.4
25991,South Asia,History,Low,40.1,21,3.6
33924,Africa,History,Low,40.1,17,17.7
2243,South Asia,Science,Low,40.2,12,7.4
3958,Africa,Mathematics,Low,40.2,12,14.6
22504,Africa,English,Low,40.2,13,23.6
26750,South America,Science,Low,40.2,13,24.8
27079,South America,Mathematics,Low,40.2,8,7.4
37823,Africa,Science,Low,40.2,18,0.0
9749,Africa,Science,Low,40.3,11,12.0
11812,South America,History,Low,40.3,17,17.9
19819,South America,Economics,Low,40.3,15,26.0
23666,East Asia,History,Low,40.3,15,6.1
25596,North America,History,Low,40.3,5,16.3
30026,Africa,Mathematics,Low,40.3,6,10.3
3691,South Asia,Science,Low,40.4,20,20.4
8179,Africa,History,Low,40.4,9,12.6
28303,South Asia,Economics,Low,40.4,9,18.0
1218,Africa,Mathematics,Low,40.5,7,3.8
21919,South Asia,English,Low,40.5,14,23.9
24237,Africa,Economics,Low,40.5,10,13.5
25367,South America,Mathematics,Low,40.5,13,19.2
27446,Africa,Economics,Low,40.5,18,16.6
33247,South Asia,Science,Low,40.5,14,22.8
34950,South Asia,English,Low,40.5,16,4.8
5667,Europe,Economics,Low,40.6,5,1.5
11370,South Asia,Science,Low,40.6,10,21.9
16687,South America,Mathematics,Low,40.6,12,13.2
19718,East Asia,Computer Science,Low,40.6,8,16.0
29824,South Asia,Science,Low,40.6,7,4.8
30815,Africa,Economics,Low,40.6,13,0.0
3068,Africa,Science,Low,40.7,10,0.2
10080,Africa,Mathematics,Low,40.7,13,0.0
28455,Africa,Science,Low,40.7,12,3.1
29199,East Asia,Mathematics,Low,40.7,17,18.8
30293,North America,Economics,Low,40.7,12,22.8
33092,South Asia,Science,Low,40.7,12,21.9
33938,North America,History,Low,40.7,24,0.0
37943,Africa,Science,Low,40.7,15,3.2
38574,Africa,Mathematics,Low,40.7,15,17.2
10764,Africa,History,Low,40.8,10,15.5
16894,South Asia,Mathematics,Low,40.8,15,19.7
23445,East Asia,Science,Low,40.8,12,8.0
402,Africa,Science,Low,40.9,6,22.6
10095,Africa,English,Low,40.9,22,9.1
15038,South Asia,Economics,Low,40.9,11,0.0
21047,Africa,Economics,Low,40.9,6,30.4
23605,Africa,Mathematics,Low,40.9,14,7.3
28016,South America,Science,Low,40.9,17,4.7
29063,Europe,Mathematics,Low,40.9,14,26.5
2585,South Asia,Science,Low,41.0,6,6.7
9226,Africa,Mathematics,Low,41.0,10,30.6
15127,North America,Mathematics,Low,41.0,5,9.5
18993,Africa,History,Low,41.0,11,0.0
20271,Europe,Economics,Low,41.0,24,14.0
26700,Africa,Mathematics,Low,41.0,12,2.7
26988,South Asia,Computer Science,Low,41.0,3,15.3
30290,South Asia,English,Low,41.0,10,29.9
37786,Africa,Economics,Low,41.0,15,7.1
7642,Africa,History,Low,41.1,13,20.3
8326,South America,Mathematics,Low,41.1,11,25.1
8412,Africa,Economics,Low,41.1,18,14.2
9546,North America,Mathematics,Low,41.1,12,0.0
14477,Africa,History,Low,41.1,9,13.8
16109,Africa,English,Low,41.1,23,8.0
22236,South Asia,Mathematics,Low,41.1,16,0.0
30388,Europe,Science,Low,41.1,7,0.0
888,Europe,History,Low,41.2,4,3.1
7333,South Asia,Mathematics,Low,41.2,9,17.4
15973,Africa,History,Low,41.2,7,0.0
17442,Africa,English,Low,41.2,15,20.4
18980,South America,Mathematics,Low,41.2,14,10.9
19061,South Asia,Economics,Low,41.2,10,7.1
19925,East Asia,Economics,Low,41.2,9,23.4
32961,Africa,Economics,Low,41.2,7,30.1
36953,Africa,Science,Low,41.2,10,12.3
37458,South Asia,Science,Low,41.2,6,17.7
505,Europe,Mathematics,Low,41.3,10,5.1
6665,Africa,English,Low,41.3,18,18.4
26422,Africa,Mathematics,Low,41.3,11,21.8
36343,South Asia,Mathematics,Low,41.3,10,18.7
38089,South Asia,Mathematics,Low,41.3,21,7.4
4538,Africa,English,Low,41.4,15,12.0
8920,Africa,Computer Science,Low,41.4,10,4.5
23191,South America,Mathematics,Low,41.4,12,20.4
23366,South America,Mathematics,Low,41.4,10,0.0
33402,South Asia,Economics,Low,41.4,12,1.8
36340,Africa,Mathematics,Low,41.4,14,20.0
36772,Europe,Mathematics,Low,41.4,12,17.5
39169,South Asia,Mathematics,Low,41.4,8,0.0
13708,South Asia,Economics,Low,41.5,4,20.0
13767,North America,Computer Science,Low,41.5,19,7.7
35428,East Asia,History,Low,41.5,12,12.1
5,South Asia,Economics,Low,41.6,10,8.6
4993,South America,Mathematics,Low,41.6,15,3.7
21488,Africa,Mathematics,Low,41.6,13,7.0
22711,Africa,Science,Low,41.6,13,22.6
1668,Africa,English,Low,41.7,11,12.2
8087,Africa,English,Low,41.7,8,9.6
16640,South Asia,English,Low,41.7,4,27.3
27009,North America,English,Low,41.7,7,21.4
29180,South Asia,Mathematics,Low,41.7,6,25.8
38142,South Asia,Mathematics,Low,41.7,17,23.6
4616,South Asia,Economics,Low,41.8,8,8.3
13246,North America,Economics,Low,41.8,11,11.3
13957,Africa,Science,Low,41.8,16,24.0
19232,South Asia,History,Low,41.8,10,19.1
20497,Africa,Economics,Low,41.8,14,0.0
21497,Africa,English,Low,41.8,6,25.7
23061,East Asia,Mathematics,Low,41.8,13,14.0
30887,South Asia,Economics,Low,41.8,10,30.1
33744,Africa,Science,Low,41.8,17,15.0
36645,South Asia,Mathematics,Low,41.8,15,18.4
1559,South America,Computer Science,Low,41.9,13,17.6
10299,Africa,Economics,Low,41.9,10,19.2
14836,South America,English,Low,41.9,11,0.0
19727,South Asia,English,Low,41.9,12,16.6
28582,South America,English,Low,41.9,13,10.4
36611,Africa,History,Low,41.9,9,11.4
7694,Africa,Science,Low,42.0,6,33.1
22887,Africa,English,Low,42.0,10,18.8
26973,North America,Mathematics,Low,42.0,18,21.8
27302,Africa,History,Low,42.0,4,7.2
37542,South Asia,Science,Low,42.0,9,10.8
38026,East Asia,Science,Low,42.0,11,0.0
1961,South America,Economics,Low,42.1,9,19.0
16511,Africa,History,Low,42.1,10,24.6
17359,Africa,Economics,Low,42.1,22,13.7
28493,Africa,Economics,Low,42.1,20,19.0
8380,South Asia,Mathematics,Low,42.2,3,16.2
23596,South Asia,Science,Low,42.2,19,20.9
24996,South Asia,Mathematics,Low,42.2,18,18.6
29123,Africa,Mathematics,Low,42.2,9,0.0
34428,South America,Science,Low,42.2,4,0.0
35565,Africa,Mathematics,Low,42.2,4,10.9
12180,Africa,History,Low,42.3,11,28.4
16343,Africa,Science,Low,42.3,11,9.6
21381,Africa,Mathematics,Low,42.3,18,10.8
30633,South Asia,Mathematics,Low,42.3,13,3.3
37189,South Asia,Mathematics,Low,42.3,10,11.9
9576,Africa,Mathematics,Low,42.4,11,10.3
12720,South Asia,Computer Science,Low,42.4,8,14.7
12772,South America,Economics,Low,42.4,7,17.1
16882,Africa,Computer Science,Low,42.4,20,10.8
18713,Africa,History,Low,42.4,9,29.8
27933,Africa,Mathematics,Low,42.4,8,0.0
9414,North America,Science,Low,42.5,14,8.9
19387,Africa,Mathematics,Low,42.5,14,29.8
34335,Africa,Science,Low,42.5,8,4.4
38180,South Asia,Computer Science,Low,42.5,9,26.0
906,Africa,Mathematics,Low,42.6,12,15.6
17645,Africa,English,Low,42.6,12,24.1
25941,Africa,Mathematics,Low,42.6,10,3.5
37979,South America,Science,Low,42.6,11,9.2
9332,South Asia,Mathematics,Low,42.7,16,21.6
20072,South America,Economics,Low,42.7,15,26.0
20821,Africa,Science,Low,42.7,15,10.0
21127,Africa,Economics,Low,42.7,15,22.8
26237,South Asia,Mathematics,Low,42.7,8,16.8
32640,South Asia,Mathematics,Low,42.7,11,11.3
34190,South America,Mathematics,Low,42.7,11,22.2
34592,South America,Computer Science,Low,42.7,9,0.0
39044,South America,History,Low,42.7,9,32.2
2877,East Asia,Science,Low,42.8,11,17.5
4122,South America,English,Low,42.8,6,26.0
4858,East Asia,History,Low,42.8,17,4.8
6259,Africa,Economics,Low,42.8,4,12.9
12249,South America,Economics,Low,42.8,7,9.2
20456,North America,History,Low,42.8,8,13.3
29966,South America,Economics,Low,42.8,19,15.9
30494,Africa,Mathematics,Low,42.8,9,6.2
30502,Africa,Mathematics,Low,42.8,9,4.0
30556,Africa,Science,Low,42.8,2,19.2
32015,South Asia,Mathematics,Low,42.8,13,25.4
38620,Africa,History,Low,42.8,10,18.3
12662,South Asia,Economics,Low,42.9,14,1.1
23557,Africa,Mathematics,Low,42.9,9,13.8
25576,Africa,History,Low,42.9,18,19.9
26272,South America,Science,Low,42.9,9,15.6
34644,Africa,Mathematics,Low,42.9,17,19.7
36402,Africa,History,Low,42.9,19,0.6
36649,South Asia,Economics,Low,42.9,14,0.4
1082,South America,Mathematics,Low,43.0,17,15.8
1892,Europe,History,Low,43.0,10,6.0
3502,East Asia,Economics,Low,43.0,9,15.8
6992,Africa,Mathematics,Low,43.0,14,23.1
7548,Africa,Mathematics,Low,43.0,22,6.7
12821,South Asia,Economics,Low,43.0,5,33.7
13434,Africa,Computer Science,Low,43.0,18,0.0
13478,Africa,Economics,Low,43.0,17,14.2
14000,Africa,Economics,Low,43.0,11,0.0
22075,South Asia,Mathematics,Low,43.0,14,15.4
32587,South America,Science,Low,43.0,23,14.7
36129,Europe,Mathematics,Low,43.0,4,7.4
38715,Africa,Economics,Low,43.0,10,6.1
15550,Africa,English,Low,43.1,14,4.7
29776,Africa,Economics,Low,43.1,15,19.1
4321,East Asia,Mathematics,Low,43.2,9,10.6
10123,Africa,Mathematics,Low,43.2,17,6.4
14827,North America,Mathematics,Low,43.2,17,14.5
18534,South Asia,Science,Low,43.2,20,5.0
24592,Africa,Mathematics,Low,43.2,11,10.0
26911,Africa,Economics,Low,43.2,13,15.2
10246,South Asia,Economics,Low,43.3,14,30.4
17005,Africa,Economics,Low,43.3,11,18.3
20923,Africa,Computer Science,Low,43.3,27,12.0
21129,Africa,Economics,Low,43.3,26,9.2
34796,South America,History,Low,43.3,6,15.8
37148,Africa,History,Low,43.3,18,12.6
38871,South Asia,Economics,Low,43.3,7,12.2
6547,Africa,Mathematics,Low,43.4,12,21.4
11069,South Asia,Mathematics,Low,43.4,7,16.6
14241,Africa,Science,Low,43.4,9,26.7
15545,Africa,History,Low,43.4,13,13.9
15607,Africa,History,Low,43.4,20,5.1
18435,South America,Mathematics,Low,43.4,12,5.7
23151,Africa,Science,Low,43.4,11,19.6
28872,Africa,History,Low,43.4,16,9.2
35878,South Asia,Economics,Low,43.4,10,27.7
37371,Africa,Science,Low,43.4,10,7.5
7872,Europe,English,Low,43.5,6,8.9
18208,Africa,History,Low,43.5,11,20.9
18413,South America,Mathematics,Low,43.5,12,24.8
20640,South Asia,Computer Science,Low,43.5,7,18.4
23446,East Asia,Economics,Low,43.5,13,0.0
27270,Africa,Economics,Low,43.5,11,28.0
28438,Africa,Economics,Low,43.5,15,11.1
28497,Europe,Science,Low,43.5,8,11.5
37018,South Asia,Mathematics,Low,43.5,4,15.2
1443,South America,Economics,Low,43.6,31,0.0
2471,South America,Economics,Low,43.6,17,0.0
7542,South America,Science,Low,43.6,14,19.0
7839,Africa,History,Low,43.6,6,33.6
11053,South America,Computer Science,Low,43.6,6,10.2
11362,South America,Science,Low,43.6,15,15.3
13239,North America,Mathematics,Low,43.6,17,14.4
15168,Africa,Mathematics,Low,43.6,15,14.9
20492,Africa,Mathematics,Low,43.6,13,15.4
23377,Europe,Science,Low,43.6,13,22.5
24328,Africa,History,Low,43.6,13,23.8
26039,South Asia,Mathematics,Low,43.6,16,2.3
6627,Africa,Economics,Low,43.7,16,6.3
15525,Africa,Science,Low,43.7,12,0.0
15863,North America,Computer Science,Low,43.7,10,10.0
16329,South America,Mathematics,Low,43.7,15,0.0
23090,South Asia,Mathematics,Low,43.7,9,10.1
31614,Africa,Mathematics,Low,43.7,11,27.0
34705,South Asia,History,Low,43.7,16,16.7
103,Africa,Economics,Low,43.8,8,6.9
274,South America,Mathematics,Low,43.8,16,17.7
3488,South America,Computer Science,Low,43.8,5,7.4
4144,South Asia,Mathematics,Low,43.8,12,21.5
23165,South America,Computer Science,Low,43.8,11,17.4
25482,South America,Mathematics,Low,43.8,23,7.3
27977,Africa,Computer Science,Low,43.8,14,24.7
32198,South Asia,English,Low,43.8,16,0.0
32273,North America,Economics,Low,43.8,10,1.6
34334,North America,History,Low,43.8,8,2.7
38147,Africa,Mathematics,Low,43.8,10,8.4
1576,Europe,Science,Low,43.9,20,16.7
1994,East Asia,Economics,Low,43.9,23,16.3
13025,Africa,English,Low,43.9,7,7.8
17132,South Asia,English,Low,43.9,23,3.0
17709,South Asia,Science,Low,43.9,5,11.1
18111,South Asia,Science,Low,43.9,11,17.5
20182,Africa,History,Low,43.9,10,5.8
29455,South Asia,Mathematics,Low,43.9,19,6.4
29496,South Asia,English,Low,43.9,18,5.7
30344,Africa,English,Low,43.9,10,23.6
31541,East Asia,Mathematics,Low,43.9,15,19.1
37294,South Asia,Computer Science,Low,43.9,7,25.8
10345,Africa,History,Low,44.0,3,5.7
10988,Europe,Science,Low,44.0,11,5.6
12094,South Asia,Mathematics,Low,44.0,17,12.7
12615,South Asia,Economics,Low,44.0,9,21.5
13037,Africa,History,Low,44.0,22,9.1
19954,Africa,Science,Low,44.0,11,13.0
24440,Africa,Science,Low,44.0,22,16.6
36020,North America,English,Low,44.0,19,0.0
252,South Asia,Economics,Low,44.1,11,5.3
7864,East Asia,History,Low,44.1,20,18.2
8784,Africa,Mathematics,Low,44.1,12,17.7
11758,Africa,History,Low,44.1,27,12.6
12108,Europe,Mathematics,Low,44.1,16,0.5
15358,South America,Science,Low,44.1,19,10.2
16353,Africa,Economics,Low,44.1,10,13.4
18736,Africa,Mathematics,Low,44.1,24,14.1
25719,Europe,Computer Science,Low,44.1,15,9.1
28192,South Asia,Mathematics,Low,44.1,16,18.2
28409,Europe,Economics,Low,44.1,17,7.2
30078,South Asia,Science,Low,44.1,17,16.3
36803,South Asia,English,Low,44.1,15,0.0
37646,South America,Computer Science,Low,44.1,9,9.6
227,Africa,Economics,Low,44.2,21,13.5
1783,North America,History,Low,44.2,10,31.0
3107,South America,Science,Low,44.2,12,15.7
4908,Africa,English,Low,44.2,21,7.0
11815,North America,Economics,Low,44.2,16,7.3
16813,Europe,Science,Low,44.2,6,23.6
17164,South Asia,English,Low,44.2,12,23.2
33255,Africa,Mathematics,Low,44.2,13,25.2
35719,South America,Economics,Low,44.2,9,4.8
39140,South America,Science,Low,44.2,15,21.2
39185,South America,Economics,Low,44.2,7,14.5
39582,North America,Mathematics,Low,44.2,8,20.2
1933,South America,Mathematics,Low,44.3,13,4.5
2377,South America,Mathematics,Low,44.3,15,6.0
6290,Africa,Computer Science,Low,44.3,17,13.1
11380,South America,Economics,Low,44.3,7,9.6
11791,Africa,English,Low,44.3,6,7.3
12417,South America,Computer Science,Low,44.3,2,19.3
13225,South Asia,Mathematics,Low,44.3,13,20.7
17246,Europe,English,Low,44.3,14,9.8
20574,South America,Mathematics,Low,44.3,16,4.3
21210,South Asia,Economics,Low,44.3,25,10.8
29007,South America,Economics,Low,44.3,16,22.3
30784,Europe,Mathematics,Low,44.3,8,18.5
36291,Europe,Mathematics,Low,44.3,4,10.4
38218,South America,History,Low,44.3,6,29.6
3670,Europe,English,Low,44.4,10,12.5
6067,South Asia,Economics,Low,44.4,5,11.0
10864,South Asia,Science,Low,44.4,17,19.1
14822,Africa,Science,Low,44.4,17,21.0
15027,Africa,Mathematics,Low,44.4,10,16.2
16578,South Asia,History,Low,44.4,22,14.7
16795,Africa,Science,Low,44.4,6,0.0
19193,Europe,Science,Low,44.4,11,0.0
19883,Africa,Economics,Low,44.4,14,23.3
19948,South Asia,Computer Science,Low,44.4,12,8.3
21886,South Asia,English,Low,44.4,17,0.1
22924,South Asia,Mathematics,Low,44.4,12,7.0
27959,Europe,English,Low,44.4,12,15.0
29844,Africa,Computer Science,Low,44.4,4,2.1
37263,South Asia,Science,Low,44.4,10,27.7
37767,South America,Science,Low,44.4,15,15.7
39493,South Asia,History,Low,44.4,5,2.6
40000,North America,History,Low,44.4,6,15.7
106,Africa,Computer Science,Low,44.5,18,0.0
866,Africa,History,Low,44.5,20,10.5
7793,Africa,Mathematics,Low,44.5,10,19.9
9862,Africa,Economics,Low,44.5,15,20.7
10469,Africa,Mathematics,Low,44.5,9,10.4
13323,Africa,Economics,Low,44.5,9,13.1
17768,North America,Economics,Low,44.5,6,5.9
18710,Africa,Science,Low,44.5,27,12.1
24642,South Asia,Science,Low,44.5,14,13.7
24952,Africa,Economics,Low,44.5,8,11.3
28297,Africa,Computer Science,Low,44.5,12,18.8
31696,Europe,Science,Low,44.5,25,0.0
35007,South America,History,Low,44.5,8,12.9
36629,Africa,Computer Science,Low,44.5,11,26.8
37034,Africa,Mathematics,Low,44.5,4,16.1
39625,South America,History,Low,44.5,10,7.0
5973,South Asia,Mathematics,Low,44.6,8,20.0
6580,South Asia,Mathematics,Low,44.6,6,9.8
9487,South Asia,Science,Low,44.6,7,25.0
12202,East Asia,Mathematics,Low,44.6,10,12.1
14583,Europe,Economics,Low,44.6,15,11.9
14824,Africa,Science,Low,44.6,14,18.2
14881,South Asia,English,Low,44.6,5,22.1
20132,South America,Mathematics,Low,44.6,24,13.4
21077,North America,Economics,Low,44.6,4,14.6
22953,Africa,English,Low,44.6,7,8.2
23929,South Asia,Economics,Low,44.6,18,20.1
28273,South Asia,Mathematics,Low,44.6,7,0.0
28930,Africa,Computer Science,Low,44.6,15,8.0
30171,South Asia,English,Low,44.6,21,16.0
32737,South Asia,English,Low,44.6,10,9.2
39361,South Asia,Science,Low,44.6,29,4.8
151,South America,Economics,Low,44.7,9,0.0
268,South Asia,Science,Low,44.7,18,17.2
1691,Africa,Science,Low,44.7,10,15.0
3274,South Asia,Mathematics,Low,44.7,9,23.4
7720,North America,Economics,Low,44.7,7,10.4
9294,South America,Science,Low,44.7,12,22.9
