Student_ID,Region,Subject,Gender,Grade_Level,Age,App_Login_Count,Video_Completion_Rate,Study_Hours_Per_Week,Assignment_Submission_Rate,Percentage,Engagement_Level
77,Europe,Economics,Male,9,15,13,30.2,11.8,38.1,69.0,Medium
78,Europe,Mathematics,Female,10,16,16,62.3,13.2,59.8,89.4,High
79,East Asia,Mathematics,Male,11,16,38,24.9,10.1,41.5,65.5,High
80,Africa,Science,Male,12,18,13,17.4,3.7,29.4,51.7,Low
81,South America,Mathematics,Female,10,16,15,49.4,6.0,45.3,68.5,High
82,South Asia,Economics,Female,9,15,21,22.7,5.4,39.3,38.5,Medium
83,North America,English,Male,10,15,14,18.1,7.7,31.4,69.7,Low
84,Africa,Mathematics,Male,10,15,20,47.1,4.4,65.4,60.3,High
85,East Asia,History,Male,12,18,7,31.0,10.5,39.7,64.4,Low
86,Africa,Economics,Male,10,15,32,32.2,11.9,61.5,54.2,High
87,North America,Economics,Other,10,15,55,40.5,16.0,64.2,81.8,High
88,Europe,Mathematics,Female,10,15,17,0.0,4.0,32.5,48.4,Low
89,Africa,Computer Science,Male,12,17,35,46.4,4.9,52.0,74.9,High
90,Africa,English,Male,11,16,19,16.9,10.0,30.8,53.7,Low
91,South Asia,Economics,Male,11,17,34,20.9,2.7,42.8,56.8,Medium
92,Africa,History,Male,12,18,16,14.7,15.6,47.6,57.9,Low
93,South America,Computer Science,Female,9,15,21,14.1,7.5,22.9,84.1,Low
94,South Asia,Economics,Male,9,15,14,18.2,7.2,37.2,53.8,Low
95,South America,Economics,Female,9,14,9,27.4,9.7,48.5,64.7,Low
96,Europe,Mathematics,Female,11,16,33,31.3,6.5,50.9,65.3,High
97,Europe,Computer Science,Female,9,14,15,37.5,8.6,31.5,71.9,Medium
98,Africa,Mathematics,Female,9,15,21,31.5,8.4,58.7,59.8,Medium
99,East Asia,Economics,Male,10,16,31,70.0,4.7,58.3,75.2,High
100,North America,History,Female,9,14,10,15.8,6.0,42.4,62.8,Low
101,Africa,Science,Female,12,18,50,46.5,7.2,41.7,78.4,High
102,Europe,Science,Female,9,15,17,10.4,8.9,41.4,62.3,Low
103,Africa,Economics,Male,9,15,8,6.9,10.5,32.5,43.8,Low
104,North America,History,Male,12,18,11,33.3,4.4,62.2,70.0,Medium
105,Africa,Science,Male,12,17,11,34.6,13.9,72.1,68.7,Medium
106,Africa,Computer Science,Male,12,18,18,0.0,12.1,20.7,44.5,Low
107,Africa,Computer Science,Female,10,15,17,29.4,5.7,52.5,66.9,Medium
108,East Asia,Mathematics,Female,10,16,30,44.0,6.1,53.6,69.9,High
109,South Asia,Science,Female,12,17,35,64.4,2.5,57.5,70.1,High
110,Africa,Economics,Female,11,17,38,31.6,7.5,40.5,78.1,High
111,Europe,English,Female,9,14,16,33.7,7.9,41.0,66.4,Medium
112,Africa,Mathematics,Female,9,15,40,50.3,10.8,62.6,77.5,High
113,East Asia,History,Male,12,17,17,18.9,8.3,48.5,65.7,Low
114,South Asia,Economics,Female,12,18,20,32.8,9.9,54.4,63.0,Medium
115,East Asia,History,Male,9,14,32,30.6,9.4,32.0,68.3,High
116,East Asia,Economics,Female,12,17,16,20.0,2.5,47.7,69.5,Low
117,North America,Mathematics,Male,11,16,10,26.1,7.2,64.8,80.8,Low
118,North America,Computer Science,Female,12,17,12,21.0,0.0,31.5,69.3,Low
119,Europe,History,Female,12,18,16,46.4,12.0,67.7,70.8,High
120,North America,Economics,Male,11,16,19,32.3,12.0,67.4,91.6,Medium
121,South Asia,History,Male,9,14,11,35.0,10.8,52.9,70.6,Medium
122,Africa,Computer Science,Male,10,16,16,41.4,10.2,56.0,61.3,Medium
123,East Asia,Mathematics,Female,12,17,24,24.0,12.9,27.7,74.4,Medium
124,South Asia,Mathematics,Male,10,16,22,15.0,9.2,35.4,54.4,Low
125,South America,Computer Science,Male,10,15,13,41.2,2.2,57.8,58.6,Medium
126,East Asia,Mathematics,Female,10,16,21,22.3,8.5,30.0,65.7,Medium
127,North America,Economics,Female,11,16,23,26.5,8.3,43.1,62.1,Medium
128,Africa,Mathematics,Female,9,15,22,17.0,10.4,37.4,50.4,Low
129,East Asia,Computer Science,Male,10,15,20,30.8,12.4,38.5,91.9,Medium
130,East Asia,English,Male,9,15,8,39.5,6.1,59.9,73.2,Medium
131,East Asia,History,Male,12,17,16,34.5,12.5,48.5,67.5,Medium
132,East Asia,History,Female,11,17,37,21.7,8.0,37.6,63.0,High
133,North America,English,Female,10,15,18,47.1,14.1,47.3,76.5,High
134,East Asia,English,Female,10,15,55,44.3,11.7,63.8,81.8,High
135,Africa,History,Female,11,17,32,42.2,12.1,44.6,58.0,High
136,Europe,Computer Science,Male,11,17,11,29.7,9.6,58.1,74.3,Low
137,East Asia,Computer Science,Male,12,18,15,35.3,6.4,68.2,84.4,Medium
138,North America,English,Female,12,18,16,48.5,9.5,70.8,71.7,High
139,South Asia,English,Male,9,15,19,37.7,4.0,56.0,64.5,Medium
140,South Asia,Mathematics,Female,10,15,36,33.5,12.8,43.0,60.8,High
141,South America,Computer Science,Female,9,15,33,42.8,11.7,35.1,79.8,High
142,Europe,Science,Male,12,18,57,53.8,9.0,67.5,97.4,High
143,Europe,English,Female,12,17,25,38.7,13.2,45.7,88.3,High
144,South Asia,Economics,Female,12,17,37,44.5,3.1,49.5,66.1,High
145,South America,Computer Science,Male,11,16,24,30.9,4.3,40.7,73.6,Medium
146,South America,English,Male,9,15,13,25.5,15.0,38.4,73.5,Low
147,North America,English,Female,11,17,12,31.2,3.2,36.1,67.5,Medium
148,Europe,Science,Female,12,18,18,49.7,14.9,67.1,75.2,High
149,Africa,History,Male,11,17,13,18.1,5.9,29.1,44.8,Low
150,North America,Mathematics,Male,12,18,10,34.2,9.7,47.2,64.5,Medium
151,South America,Economics,Male,11,17,9,0.0,12.8,18.8,44.7,Low
152,Europe,Economics,Female,10,15,15,21.6,17.9,45.2,61.2,Low
153,South America,Science,Male,10,15,15,22.2,4.3,37.8,81.2,Low
154,Europe,Science,Female,10,16,22,13.6,11.2,48.7,66.8,Low
155,South Asia,History,Male,10,15,10,16.8,12.2,46.8,60.2,Low
156,East Asia,History,Female,9,15,21,45.7,14.8,37.9,81.4,High
157,North America,History,Male,10,15,16,17.2,8.0,45.4,65.2,Low
158,East Asia,Mathematics,Male,10,15,12,46.6,13.6,43.8,67.1,High
159,East Asia,Computer Science,Female,11,17,22,39.5,9.9,39.1,100.0,High
160,Africa,Mathematics,Female,12,17,14,19.7,0.0,43.1,39.7,Low
161,South America,English,Female,11,17,40,50.3,11.9,67.1,69.8,High
162,East Asia,Computer Science,Other,12,17,9,30.3,15.0,44.1,75.6,Low
163,South Asia,Economics,Male,12,17,19,49.0,6.4,44.8,49.2,High
164,South Asia,History,Female,11,16,22,19.1,7.8,30.1,49.3,Medium
165,South Asia,Mathematics,Female,9,15,21,43.0,9.7,44.9,58.5,High
166,Africa,Computer Science,Female,9,14,11,36.3,8.2,52.1,47.0,Medium
167,Europe,Mathematics,Male,9,15,28,47.7,6.4,45.5,74.2,High
168,Europe,Science,Female,9,15,8,24.3,10.1,49.1,51.9,Low
169,South Asia,Mathematics,Other,10,15,13,21.7,10.1,38.5,58.2,Low
170,North America,Economics,Male,11,16,23,44.9,10.8,56.4,89.1,High
171,North America,English,Male,11,17,18,6.8,7.6,23.1,59.0,Low
172,North America,History,Male,9,14,7,38.9,2.9,49.1,70.0,Medium
173,Africa,Computer Science,Male,10,16,39,31.5,6.4,59.4,69.2,High
174,Africa,Economics,Female,11,16,6,22.1,11.9,44.8,53.3,Low
175,Africa,Economics,Male,10,15,4,26.5,1.8,59.7,49.5,Low
176,South Asia,Mathematics,Male,9,14,32,33.7,9.3,45.4,63.4,High
177,Africa,English,Female,9,15,21,36.8,12.8,49.1,63.0,High
178,North America,English,Male,12,18,16,36.1,6.8,46.9,61.2,Medium
179,South America,Computer Science,Female,9,14,20,33.2,10.4,42.5,76.4,Medium
180,East Asia,English,Female,9,15,23,26.3,7.8,41.9,68.9,Medium
181,South America,Science,Female,12,18,19,22.9,2.1,17.7,49.7,Medium
182,North America,Computer Science,Male,10,15,17,32.1,12.0,28.2,85.6,Medium
183,South Asia,English,Female,12,17,24,5.9,1.9,29.8,26.5,Low
184,Africa,Computer Science,Male,9,14,14,55.2,5.1,39.9,58.6,High
185,South Asia,English,Male,9,15,45,50.8,5.9,47.0,82.1,High
186,South Asia,English,Male,10,16,30,25.3,7.0,26.2,72.6,Medium
187,North America,Mathematics,Female,12,18,10,22.4,9.6,50.4,59.1,Low
188,South Asia,Mathematics,Male,10,16,20,26.1,7.2,41.7,70.9,Medium
189,Europe,Mathematics,Male,11,16,17,56.8,4.7,63.5,70.0,High
190,Europe,Science,Female,11,17,33,19.9,4.9,40.9,63.3,Medium
191,Africa,English,Female,9,15,30,21.8,7.3,40.8,69.8,Medium
192,East Asia,Mathematics,Female,12,18,29,34.6,11.0,48.8,62.0,High
193,East Asia,Mathematics,Male,9,14,16,31.8,6.9,51.9,71.7,Medium
194,South Asia,Economics,Female,12,18,19,30.9,8.8,18.4,56.3,Medium
195,South America,Economics,Male,9,14,22,38.2,11.9,47.1,71.2,High
196,North America,Science,Male,11,17,24,33.9,10.5,57.0,78.7,High
197,South Asia,Economics,Male,12,18,18,26.3,5.6,55.7,59.1,Medium
198,North America,Mathematics,Male,12,18,13,37.0,12.8,56.6,61.7,Medium
199,South Asia,Mathematics,Male,11,17,8,8.8,3.1,30.7,55.9,Low
200,South America,English,Female,9,15,21,30.1,9.9,44.9,78.6,High
201,South Asia,Science,Male,9,15,20,3.7,11.4,34.4,56.4,Low
202,South America,Mathematics,Male,12,18,12,46.9,9.4,54.9,67.3,High
203,South Asia,Economics,Male,10,16,8,15.7,9.8,18.3,47.4,Low
204,Africa,Economics,Male,9,15,14,36.8,10.6,51.8,58.5,Medium
205,South Asia,Science,Female,10,16,15,12.5,17.9,19.2,59.9,Low
206,Europe,Science,Male,11,17,27,32.0,5.0,63.6,73.2,High
207,Africa,Computer Science,Female,9,14,30,20.7,17.5,46.9,72.7,Medium
208,South America,Economics,Male,12,17,28,24.4,13.2,38.8,68.8,Medium
209,Europe,Science,Male,12,18,18,16.5,4.0,22.9,50.5,Low
210,Africa,Computer Science,Male,11,17,7,24.5,12.6,52.0,68.2,Low
211,Europe,Mathematics,Male,11,16,10,47.3,10.4,54.5,70.8,Medium
212,Africa,History,Female,9,15,10,27.5,7.0,25.8,63.0,Low
213,Africa,Economics,Male,10,16,24,26.8,8.2,50.8,40.2,Medium
214,South Asia,English,Other,9,15,11,36.1,11.5,57.8,59.3,Medium
215,Africa,History,Female,11,17,24,23.6,11.5,35.5,61.8,Medium
216,Europe,Computer Science,Male,12,18,24,11.3,1.5,30.4,77.9,Low
217,North America,History,Other,12,18,18,29.9,7.2,36.8,55.9,Low
218,North America,Computer Science,Male,12,18,21,41.9,11.9,57.4,93.7,High
219,South Asia,Economics,Female,10,16,12,31.2,5.7,49.4,69.5,Medium
220,South America,Mathematics,Male,11,16,11,43.4,9.3,61.9,65.1,Medium
221,North America,Economics,Female,10,15,24,37.5,7.9,34.1,68.0,High
222,South Asia,Economics,Male,10,15,20,31.2,11.5,74.6,58.3,Medium
223,Africa,Economics,Female,12,18,9,20.5,4.1,37.9,48.3,Low
224,Europe,English,Male,10,15,29,41.8,14.0,41.1,71.7,High
225,Africa,History,Female,11,16,9,17.0,7.0,63.1,60.5,Low
226,Europe,English,Female,9,14,23,51.8,5.9,58.2,73.6,High
227,Africa,Economics,Male,11,17,21,13.5,15.0,24.7,44.2,Low
228,East Asia,English,Other,10,15,42,38.2,13.0,58.7,82.5,High
229,East Asia,Science,Female,9,15,15,27.0,0.0,41.4,64.9,Medium
230,Europe,Computer Science,Female,10,16,31,37.5,6.5,67.3,80.6,High
231,South Asia,Mathematics,Male,12,18,24,23.0,11.6,42.7,69.1,Medium
232,South America,English,Female,9,15,18,41.0,5.5,55.9,80.8,High
233,North America,Science,Female,10,15,9,19.3,8.1,39.9,68.5,Low
234,Africa,English,Male,11,16,11,12.8,5.8,46.5,51.6,Low
235,South Asia,English,Female,9,15,10,7.1,14.6,40.5,67.2,Low
236,Africa,Mathematics,Other,9,15,20,23.2,3.8,52.1,54.3,Medium
237,East Asia,Economics,Female,10,16,20,20.1,8.1,33.0,54.1,Low
238,South Asia,English,Female,9,14,10,27.3,14.3,38.5,67.3,Low
239,Europe,English,Female,10,16,13,25.1,7.7,41.6,62.2,Low
240,East Asia,Mathematics,Male,10,15,20,34.9,12.7,67.6,83.7,Medium
241,North America,Economics,Female,9,14,19,42.8,9.9,41.3,62.1,High
242,East Asia,Economics,Female,11,16,17,38.4,1.7,72.0,77.5,Medium
243,North America,English,Male,11,17,6,15.5,13.4,38.5,69.8,Low
244,East Asia,English,Male,9,14,15,9.7,4.8,48.5,61.8,Low
245,East Asia,English,Male,10,16,37,39.2,12.9,48.3,89.6,High
246,North America,Economics,Female,11,16,2,26.3,3.8,32.6,55.5,Low
247,Africa,Science,Female,10,15,7,26.3,9.4,55.9,55.1,Low
248,South Asia,Computer Science,Female,9,14,21,27.5,13.6,39.5,63.9,Medium
249,Africa,Economics,Male,12,17,12,50.9,7.3,60.9,64.8,High
250,North America,Computer Science,Male,10,15,9,30.2,5.4,33.2,68.8,Low
251,Europe,Economics,Male,11,16,37,52.1,17.4,67.0,82.6,High
252,South Asia,Economics,Female,12,18,11,5.3,5.5,45.3,44.1,Low
253,Europe,Mathematics,Female,9,14,24,36.4,9.9,39.3,72.9,High
254,Europe,Science,Female,9,15,17,34.2,10.5,58.8,73.2,Medium
255,East Asia,Mathematics,Male,10,15,25,41.6,9.3,40.9,82.2,High
256,North America,History,Female,11,17,18,33.0,9.4,56.4,77.0,Medium
257,Africa,English,Female,9,14,13,26.3,6.8,52.2,49.2,Low
258,North America,Mathematics,Female,9,14,16,23.5,9.8,47.9,68.7,Low
259,Europe,History,Female,12,17,8,39.1,6.3,35.7,67.3,Medium
260,East Asia,Mathematics,Female,11,16,6,32.4,6.8,32.5,67.1,Low
261,Africa,English,Female,9,15,10,35.3,5.4,41.6,55.4,Medium
262,Europe,English,Male,9,14,8,10.0,4.8,19.7,59.1,Low
263,Europe,Economics,Female,11,16,27,41.7,9.3,49.0,65.3,High
264,South America,Computer Science,Female,9,14,13,37.4,11.6,71.4,67.4,Medium
265,South America,History,Female,9,15,43,50.2,12.4,51.7,83.4,High
266,East Asia,Computer Science,Male,11,17,31,35.5,9.4,45.7,97.2,High
267,South Asia,Science,Female,9,15,15,29.7,9.0,56.2,73.5,Medium
268,South Asia,Science,Male,12,17,18,17.2,9.2,33.5,44.7,Low
269,East Asia,Computer Science,Female,11,17,27,48.0,7.5,57.6,97.9,High
270,East Asia,Computer Science,Female,9,14,19,51.5,9.6,54.2,85.9,High
271,Europe,Mathematics,Male,12,18,41,48.0,8.5,62.4,77.1,High
272,North America,Science,Female,11,17,13,19.2,3.0,50.1,57.4,Low
273,North America,Science,Female,10,15,14,21.9,7.4,32.0,80.7,Low
274,South America,Mathematics,Female,10,16,16,17.7,9.0,44.5,43.8,Low
275,South Asia,History,Male,12,18,11,38.0,9.3,53.7,65.2,Medium
276,South Asia,Mathematics,Female,11,17,6,13.8,8.8,30.6,51.2,Low
277,South Asia,Economics,Other,10,16,19,38.0,10.9,65.1,77.2,Medium
278,Africa,History,Female,12,18,20,33.1,8.5,37.4,56.6,Medium
279,North America,Computer Science,Male,9,14,19,43.9,14.2,51.4,90.3,High
280,North America,English,Female,10,15,21,47.8,12.8,40.8,100.0,High
281,Europe,Economics,Male,10,16,14,33.0,10.4,47.4,81.6,Medium
282,South Asia,Science,Female,12,18,23,17.6,6.6,47.9,63.9,Medium
283,Africa,History,Male,9,14,14,35.4,9.3,52.5,57.3,Medium
284,South Asia,Mathematics,Male,12,17,18,10.9,8.9,54.3,56.0,Low
285,South Asia,Computer Science,Male,11,17,19,26.2,11.4,42.9,64.9,Medium
286,South America,History,Female,12,18,17,44.1,7.6,49.2,71.2,High
287,North America,Science,Female,10,15,36,41.9,14.9,56.1,83.8,High
288,East Asia,Computer Science,Female,9,14,17,12.6,8.5,34.6,74.8,Low
289,East Asia,Economics,Male,9,14,5,26.4,8.4,37.4,61.3,Low
290,South Asia,Mathematics,Male,11,16,34,50.8,6.7,56.2,82.6,High
291,Africa,Economics,Male,9,15,21,29.7,10.2,35.5,54.3,Medium
292,Europe,Computer Science,Female,10,16,15,45.5,6.3,47.6,82.6,High
293,South America,English,Male,10,15,15,31.1,16.6,53.1,69.6,Medium
294,Europe,History,Female,9,15,41,46.0,10.4,57.9,80.5,High
295,East Asia,Computer Science,Male,10,16,17,41.4,10.3,57.9,79.5,High
296,East Asia,English,Female,10,16,31,25.2,16.8,36.9,72.1,High
297,South America,History,Male,9,15,25,31.5,10.5,31.5,59.2,Medium
298,South Asia,Mathematics,Male,10,16,28,44.0,16.0,48.8,65.1,High
299,Europe,Economics,Male,11,17,12,6.4,6.8,10.4,48.1,Low
300,North America,Economics,Male,11,17,25,44.7,8.5,48.3,73.5,High
301,South Asia,Science,Male,10,15,12,34.3,10.5,40.6,66.4,Medium
302,Africa,English,Female,10,15,10,30.3,7.9,44.1,58.4,Low
303,North America,Science,Female,12,17,13,42.5,5.9,59.1,77.6,Medium
304,South America,English,Male,9,15,35,33.6,10.7,42.8,71.3,High
305,East Asia,Science,Female,10,16,10,12.0,11.4,41.6,50.8,Low
306,North America,Economics,Male,10,16,30,55.1,6.2,68.0,70.5,High
307,Europe,Computer Science,Female,9,14,7,9.7,9.6,34.8,66.6,Low
308,East Asia,Economics,Male,12,17,20,44.4,9.8,51.5,68.4,High
309,Europe,Computer Science,Male,12,17,10,26.4,13.1,44.1,71.7,Low
310,North America,Computer Science,Female,12,17,30,44.4,13.0,56.1,68.1,High
311,East Asia,Mathematics,Male,9,15,21,16.5,2.5,36.1,63.3,Low
312,Africa,Computer Science,Male,9,15,29,26.3,16.7,35.3,72.0,Medium
313,North America,Computer Science,Female,12,17,25,41.1,4.1,43.4,71.5,High
314,Europe,Mathematics,Female,9,14,16,33.8,8.2,40.9,58.6,Medium
315,Europe,Mathematics,Female,12,18,10,15.5,4.8,40.3,62.9,Low
316,East Asia,Computer Science,Female,9,15,26,32.8,7.6,32.9,75.3,High
317,Africa,English,Male,11,16,14,12.7,6.9,28.5,37.9,Low
318,Africa,Science,Female,10,16,37,28.9,15.6,26.3,63.9,High
319,South America,English,Female,12,18,7,15.5,6.5,18.0,56.2,Low
320,Africa,Economics,Male,9,15,11,7.0,7.3,35.0,47.9,Low
321,Europe,English,Male,9,14,28,32.4,5.2,50.2,74.2,High
322,North America,English,Female,12,17,42,36.0,12.4,52.3,89.7,High
323,East Asia,English,Female,10,15,4,37.5,8.9,51.2,75.9,Low
324,South America,Mathematics,Male,12,18,8,9.8,6.8,14.0,61.6,Low
325,South America,Mathematics,Female,10,15,15,29.2,5.4,48.9,64.7,Medium
326,Europe,English,Male,10,16,27,35.2,6.2,62.6,78.1,High
327,Europe,Mathematics,Male,11,16,31,29.8,2.3,33.7,64.7,Medium
328,North America,Computer Science,Female,10,15,29,0.1,11.7,23.3,46.6,Low
329,North America,English,Male,11,16,56,39.2,7.9,63.7,89.7,High
330,East Asia,History,Male,11,16,22,48.2,7.3,43.8,83.4,High
331,East Asia,English,Female,10,16,18,36.2,8.6,51.1,73.0,Medium
332,South Asia,Computer Science,Male,9,14,17,24.6,10.8,46.4,72.2,Medium
333,Europe,English,Female,9,15,17,22.3,11.0,39.1,71.5,Low
334,Africa,Mathematics,Female,11,16,15,33.2,12.1,43.8,52.4,Medium
335,South Asia,English,Female,12,18,21,29.5,10.1,47.2,51.9,Medium
336,Africa,Science,Female,11,17,18,47.0,17.4,63.3,67.0,High
337,South America,History,Female,9,15,25,33.2,8.4,30.3,50.3,High
338,Europe,History,Female,9,14,6,25.1,10.5,44.2,67.1,Low
339,Europe,English,Female,10,16,29,29.6,9.5,54.3,69.1,High
340,South America,English,Male,10,16,27,19.9,12.2,44.0,65.8,Medium
341,East Asia,History,Female,9,15,23,41.3,5.9,55.5,72.5,High
342,Europe,Computer Science,Male,10,15,9,23.2,6.0,29.3,50.1,Low
343,East Asia,Economics,Male,10,15,15,33.7,5.6,50.0,78.3,Medium
344,East Asia,Economics,Female,12,18,18,26.8,7.2,42.8,79.4,Medium
345,South America,Mathematics,Male,12,17,8,12.0,8.7,18.7,46.6,Low
346,Europe,History,Male,9,14,15,27.7,4.4,34.3,58.3,Medium
347,South America,Mathematics,Female,11,16,38,41.6,10.8,69.3,64.6,High
348,South America,English,Male,9,14,15,12.4,2.6,34.2,63.0,Low
349,Europe,Computer Science,Female,12,17,21,31.9,15.6,60.3,71.7,Medium
350,North America,History,Other,9,14,18,19.1,9.7,54.9,68.5,Low
351,East Asia,Computer Science,Female,12,18,32,5.8,7.6,30.1,71.5,Low
352,North America,Economics,Male,9,14,9,25.2,13.3,21.9,71.5,Low
353,Europe,Economics,Female,12,17,11,24.0,9.4,48.8,61.6,Low
354,South Asia,Computer Science,Male,11,16,22,27.9,3.5,46.0,62.7,Medium
355,South America,Computer Science,Female,11,16,18,27.8,5.5,42.8,73.1,Medium
356,South America,Computer Science,Male,9,15,25,36.8,7.6,51.0,77.6,High
357,North America,Science,Male,11,17,10,46.9,12.9,63.8,80.5,Medium
358,South America,Science,Male,9,14,50,38.1,16.3,63.3,78.8,High
359,North America,English,Other,11,17,19,9.0,3.1,36.3,55.9,Low
360,Africa,Computer Science,Male,12,17,18,26.4,6.0,50.8,70.2,Medium
361,South America,English,Male,12,17,32,22.4,20.1,35.1,78.6,Medium
362,South America,Mathematics,Male,9,15,14,24.7,12.4,45.2,58.9,Low
363,Europe,Computer Science,Female,9,15,20,8.8,6.7,24.3,69.0,Low
364,South America,Computer Science,Female,10,16,29,51.1,7.8,73.5,66.4,High
